ID,ANO,MUNICIPIO,COD_CURSO,NOME_CURSO,CENTRO,CPC_ANTIGO,NC,NIDD,NM,ND,NR,NO,NF,NA,CPC2013
1,2007,SANTA MARIA,5,MEDICINA VETERINÁRIA,CCR,"2,92",3.28,2.00,0.00,3.66,5.00,1.94,2.26,2.06,"2,64"
2,2007,SANTA MARIA,12,MEDICINA,CCS,"3,72",4.38,4.14,0.00,1.43,5.00,1.33,2.96,1.98,"3,29"
3,2007,SANTA MARIA,17,AGRONOMIA,CCR,"3,56",4.31,2.89,0.00,3.43,5.00,1.77,2.27,1.97,"3,11"
4,2007,SANTA MARIA,19,FARMÁCIA,CCS,"3,04",3.64,2.28,0.00,3.76,5.00,0.88,1.18,1.00,"2,64"
5,2007,SANTA MARIA,23,ENFERMAGEM,CCS,"3,51",4.44,2.86,0.00,2.99,5.00,1.43,1.84,1.59,3
6,2007,SANTA MARIA,27,FONOAUDIOLOGIA,CCS,"4,09",4.93,0.00,0.00,2.41,5.00,0.00,0.00,0.00,"1,72"
7,2007,SANTA MARIA,35,EDUCAÇÃO FÍSICA,CEFD,"3,66",3.95,2.95,0.00,5.00,5.00,1.67,3.92,2.57,"3,43"
8,2007,SANTA MARIA,51,ZOOTECNIA,CCR,"2,68",3.33,1.88,0.00,2.33,5.00,0.83,2.74,1.60,"2,36"
9,2009,SANTA MARIA,1,ADMINISTRAÇÃO,CCSH,"4,22",4.43,3.96,4.57,5.00,5.00,1.91,2.44,2.12,"4,12"
10,2009,SANTA MARIA,2,DIREITO,CCSH,"3,74",4.89,3.98,3.66,3.03,5.00,0.84,0.21,0.59,"3,57"
11,2009,SANTA MARIA,8,COMUNICAÇÃO SOCIAL,CCSH,"3,35",4.60,2.34,3.57,3.46,5.00,1.06,0.63,0.89,"3,05"
12,2009,SANTA MARIA,8,COMUNICAÇÃO SOCIAL,CCSH,"3,91",4.96,4.42,3.75,3.32,5.00,1.03,1.15,1.08,"3,88"
13,2009,FREDERICO WESTPHALEN,8,COMUNICAÇÃO SOCIAL,CESNORS FW,"3,22",4.08,3.03,5.00,2.04,5.00,2.61,1.30,2.09,"3,28"
14,2009,SANTA MARIA,8,COMUNICAÇÃO SOCIAL,CCSH,"3,57",4.56,2.57,3.93,4.21,5.00,1.00,2.00,1.40,"3,37"
15,2009,SANTA MARIA,13,CIÊNCIAS ECONÔMICAS,CCSH,"2,71",2.93,2.46,3.78,2.21,5.00,1.65,2.23,1.88,"2,77"
16,2009,SANTA MARIA,18,PSICOLOGIA,CCSH,"3,59",4.43,3.12,3.76,3.73,5.00,0.83,1.59,1.13,"3,4"
17,2009,SANTA MARIA,22,CIÊNCIAS CONTÁBEIS,CCSH,"3,39",4.66,3.67,3.69,1.11,5.00,2.62,1.71,2.26,"3,41"
18,2009,SANTA MARIA,26,DESIGN,CAL,"3,18",3.92,2.53,4.27,2.96,5.00,1.39,2.96,2.02,"3,18"
19,2009,SANTA MARIA,39,TEATRO,CAL,"3,27",5.00,4.62,2.70,0.00,5.00,2.14,2.08,2.11,"3,56"
20,2009,SANTA MARIA,43,MÚSICA,CAL,"3,75",3.72,4.64,3.61,3.41,5.00,1.26,3.18,2.03,"3,91"
21,2009,SANTA MARIA,65,ARQUIVOLOGIA,CCSH,"4,05",4.44,0.00,2.98,2.41,5.00,5.00,5.00,5.00,"2,72"
22,2010,SANTA MARIA,5,MEDICINA VETERINÁRIA,CCR,"3,79",3.76,4.17,4.42,3.95,5.00,0.71,3.28,1.74,"3,85"
23,2010,SANTA MARIA,6,ODONTOLOGIA,CCS,"3,48",4.02,3.92,3.79,2.89,5.00,0.91,0.87,0.89,"3,42"
24,2010,SANTA MARIA,12,MEDICINA,CCS,"3,03",4.11,3.88,3.29,2.02,5.00,0.82,2.23,1.38,"3,37"
25,2010,SANTA MARIA,17,AGRONOMIA,CCR,"3,46",3.83,2.87,4.51,3.81,5.00,1.03,2.88,1.77,"3,39"
