Centro,Ano,Cód. Curso,Nome do Curso,Ingressantes 'x' anos atrás,Formados,Matriculados,TSG - Taxa de Titulação,TSG Média Cursos do Centro,TSG Média Cursos da UFSM,Ano de Ingresso
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2008,501,Administração - Diurno,55,30,209,54.54,51.17,43.15,2005
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2009,501,Administração - Diurno,53,41,218,77.35,63.77,51.69,2006
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2010,501,Administração - Diurno,52,32,229,61.53,59.10,56.18,2007
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2011,501,Administração - Diurno,52,42,235,80.76,58.36,49.65,2008
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2012,501,Administração - Diurno,55,53,245,96.36,51.44,46.73,2009
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,501,Administração - Diurno,56,42,250,75.00,48.39,62.08,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,501,Administração - Diurno,50,40,252,80.00,54.43,42.85,2011
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,501,Administração - Diurno,55,12,247,21.81,12.51,23.12,2012
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2008,515,Administração - Noturno,64,31,326,48.43,51.17,43.15,2005
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2009,515,Administração - Noturno,59,27,311,45.76,63.77,51.69,2006
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2010,515,Administração - Noturno,66,34,306,51.51,59.10,56.18,2007
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2011,515,Administração - Noturno,59,28,325,47.45,58.36,49.65,2008
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2012,515,Administração - Noturno,56,26,304,46.42,51.44,46.73,2009
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,515,Administração - Noturno,55,30,294,54.54,48.39,62.08,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,515,Administração - Noturno,57,37,300,64.91,54.43,42.85,2011
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,515,Administração - Noturno,72,26,305,36.11,12.51,23.12,2012
CENTRO DE CIÊNCIAS RURAIS - CCR,2009,401,Agronomia,124,99,753,79.83,77.36,51.69,2005
CENTRO DE CIÊNCIAS RURAIS - CCR,2010,401,Agronomia,137,125,716,91.24,79.64,56.18,2006
CENTRO DE CIÊNCIAS RURAIS - CCR,2011,401,Agronomia,141,132,701,93.61,65.17,49.65,2007
CENTRO DE CIÊNCIAS RURAIS - CCR,2012,401,Agronomia,158,101,706,63.92,61.57,46.73,2008
CENTRO DE CIÊNCIAS RURAIS - CCR,2013,401,Agronomia,127,100,719,78.74,78.55,62.08,2009
CENTRO DE CIÊNCIAS RURAIS - CCR,2014,401,Agronomia,126,99,715,78.57,61.34,42.85,2010
CENTRO DE CIÊNCIAS RURAIS - CCR,2015,401,Agronomia,128,39,682,30.46,21.23,23.12,2011
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2010,2001,Agronomia/CESNORS/FW,64,0,60,0.00,54.02,56.18,2006
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2011,2001,Agronomia/CESNORS/FW,64,49,119,76.56,74.03,49.65,2007
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2012,2001,Agronomia/CESNORS/FW,71,55,176,77.46,48.59,46.73,2008
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2013,2001,Agronomia/CESNORS/FW,87,60,240,68.96,37.34,62.08,2009
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2014,2001,Agronomia/CESNORS/FW,66,42,288,63.63,35.89,42.85,2010
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2015,2001,Agronomia/CESNORS/FW,65,9,333,13.84,21.15,23.12,2011
CENTRO DE TECNOLOGIA - CT,2008,308,Arquitetura e Urbanismo,23,26,141,113.04,79.85,43.15,2005
CENTRO DE TECNOLOGIA - CT,2009,308,Arquitetura e Urbanismo,25,21,143,84.00,66.63,51.69,2006
CENTRO DE TECNOLOGIA - CT,2010,308,Arquitetura e Urbanismo,27,16,143,59.25,60.03,56.18,2007
CENTRO DE TECNOLOGIA - CT,2011,308,Arquitetura e Urbanismo,31,22,149,70.96,70.07,49.65,2008
CENTRO DE TECNOLOGIA - CT,2012,308,Arquitetura e Urbanismo,23,13,141,56.52,55.77,46.73,2009
CENTRO DE TECNOLOGIA - CT,2013,308,Arquitetura e Urbanismo,28,12,136,42.85,27.29,62.08,2010
CENTRO DE TECNOLOGIA - CT,2014,308,Arquitetura e Urbanismo,28,19,143,67.85,36.01,42.85,2011
CENTRO DE TECNOLOGIA - CT,2015,308,Arquitetura e Urbanismo,27,7,140,25.92,19.23,23.12,2012
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2008,509,Arquivologia,31,18,123,58.06,51.17,43.15,2005
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2009,509,Arquivologia,31,27,119,87.09,63.77,51.69,2006
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2010,509,Arquivologia,35,16,126,45.71,59.10,56.18,2007
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2012,509,Arquivologia,33,19,131,57.57,51.44,46.73,2009
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2011,509,Arquivologia,36,16,128,44.44,58.36,49.65,2008
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,509,Arquivologia,29,23,119,79.31,48.39,62.08,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,509,Arquivologia,36,16,125,44.44,54.43,42.85,2011
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,509,Arquivologia,34,6,129,17.64,12.51,23.12,2012
CENTRO DE ARTES E LETRAS - CAL,2008,724,Artes Cênicas - Bacharelado,20,0,63,0.00,27.90,43.15,2005
