AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,PUB_PRIV,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA,COD_IES,AMPLIACAOFORMACAO_NA,CPC_FORMULA2013
ADMINISTRAÇÃO,GO,0,2012,1.69,1.60,1.37,2.69,0.27,FACULDADE PADRÃO,-,Privada,Faculdade,APARECIDA DE GOIANIA,3.46,2.37,2.00,2.84,59,136,1,5201405,2361,2.56,1.68
ADMINISTRAÇÃO,MS,0,2012,2.91,2.07,2.73,4.25,1.75,FACULDADES INTEGRADAS DE TRÊS LAGOAS,AEMS,Privada,Faculdade,TRES LAGOAS,4.25,3.93,3.00,4.68,39,67,1,5008305,1038,4.23,2.90
ADMINISTRAÇÃO,SP,0,2012,2.03,2.19,2.20,2.58,1.06,FACULDADE DE RIBEIRÃO PRETO,AFARP,Privada,Faculdade,RIBEIRAO PRETO,4.24,1.61,3.00,0.46,32,100,1,3543402,1465,1.15,2.05
ADMINISTRAÇÃO,DF,0,2012,3.27,3.02,3.02,4.22,2.19,FACULDADE AIEC,AIEC / FAAB,Privada,Faculdade,BRASILIA,5.00,3.37,4.00,4.58,83,504,1,5300108,1779,3.85,3.26
ADMINISTRAÇÃO,MT,0,2012,2.63,2.97,3.56,2.89,1.11,FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DO VALE DO JURUENA,AJES,Privada,Faculdade,JUINA,4.74,0.71,3.00,0.00,13,25,1,5105150,2629,0.43,2.64
ADMINISTRAÇÃO,GO,0,2012,2.24,2.44,2.40,2.24,0.18,FACULDADE ALVES FARIA,ALFA,Privada,Faculdade,GOIANIA,2.89,2.57,3.00,4.06,44,117,1,5208707,1493,3.16,2.21
ADMINISTRAÇÃO,RS,1,2012,3.66,4.08,4.02,3.86,1.59,FACULDADE ANTÔNIO MENEGHETTI,AMF,Privada,Faculdade,RESTINGA SECA,2.05,5.00,4.00,5.00,12,28,1,4315503,4810,5.00,3.66
ADMINISTRAÇÃO,SP,0,2012,2.06,1.72,2.07,2.00,0.84,FACULDADE PADRE ANCHIETA DE VÁRZEA PAULISTA,ANCHIETA,Privada,Faculdade,VARZEA PAULISTA,1.60,3.88,3.00,4.05,12,39,1,3556503,12249,3.95,2.06
ADMINISTRAÇÃO,DF,0,2012,1.48,1.05,1.59,2.06,0.00,FACULDADE APOGEU,APOGEU,Privada,Faculdade,BRASILIA,0.59,4.00,2.00,2.90,9,33,1,5300108,4588,3.56,1.50
ADMINISTRAÇÃO,MG,0,2012,2.14,2.05,2.13,1.43,0.50,FACULDADES INTEGRADAS ASMEC,ASMEC,Privada,Faculdade,OURO FINO,3.93,2.35,3.00,4.47,36,62,1,3146008,5369,3.20,2.11
ADMINISTRAÇÃO,SC,1,2012,2.80,2.59,2.59,3.62,0.72,FACULDADE AVANTIS,AVANTIS,Privada,Faculdade,BALNEARIO CAMBORIU,4.66,4.13,3.00,4.56,33,159,1,4202008,1988,4.30,2.80
ADMINISTRAÇÃO,SP,0,2012,2.78,2.70,2.39,3.42,0.74,FACULDADE DE SÃO JOSÉ DOS CAMPOS,BILAC,Privada,Faculdade,SAO JOSE DOS CAMPOS,5.00,4.15,3.00,4.64,57,148,1,3549904,4983,4.34,2.77
ADMINISTRAÇÃO,GO,0,2012,2.35,1.76,3.28,1.67,0.00,FACULDADE CAMBURY DE FORMOSA,CAMBURY,Privada,Faculdade,FORMOSA,3.13,3.56,3.00,2.95,13,23,1,5208004,2266,3.31,2.36
ADMINISTRAÇÃO,PR,1,2012,2.54,2.05,2.51,3.13,1.53,FACULDADE CAMPO REAL,CAMPO REAL,Privada,Faculdade,GUARAPUAVA,2.34,3.45,3.00,4.66,74,160,1,4109401,5511,3.94,2.52
ADMINISTRAÇÃO,GO,0,2012,1.84,1.94,1.57,1.74,0.30,FACULDADE CATÓLICA DE ANÁPOLIS,CATÓLICA DE ANÁPOLIS,Privada,Faculdade,ANAPOLIS,2.83,2.50,2.00,4.40,36,92,1,5201108,939,3.26,1.81
ADMINISTRAÇÃO,SC,1,2012,2.41,2.19,2.08,3.49,0.79,Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul,Católica em Jaraguá,Privada,Centro Universitário,JARAGUA DO SUL,3.77,3.51,3.00,4.29,68,209,1,4208906,645,3.82,2.40
ADMINISTRAÇÃO,SP,0,2012,2.09,2.21,1.86,3.39,2.00,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Privada,Centro Universitário,RIBEIRAO PRETO,3.57,1.30,3.00,1.00,33,72,1,3543402,138,1.18,2.09
ADMINISTRAÇÃO,AP,0,2012,2.62,2.71,3.13,2.95,0.32,CENTRO DE ENSINO SUPERIOR DO AMAPÁ,CEAP,Privada,Faculdade,MACAPA,2.27,2.88,3.00,4.39,20,56,1,1600303,861,3.49,2.60
ADMINISTRAÇÃO,DF,0,2012,1.92,1.80,2.11,2.58,1.35,FACULDADE CECAP DO LAGO NORTE,CECAP,Privada,Faculdade,BRASILIA,1.61,2.11,2.00,1.92,41,144,1,5300108,1333,2.03,1.92
ADMINISTRAÇÃO,MG,0,2012,3.38,4.73,2.95,4.56,1.47,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET/MG,Pública,Centro Federal de Educação Tecnológica,BELO HORIZONTE,5.00,2.53,4.00,3.63,76,87,1,3106200,594,2.97,3.36
ADMINISTRAÇÃO,RJ,0,2012,2.37,3.18,0.97,4.42,2.96,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET/RJ,Pública,Centro Federal de Educação Tecnológica,RIO DE JANEIRO,5.00,1.77,3.00,1.46,78,81,1,3304557,593,1.65,2.37
ADMINISTRAÇÃO,PR,1,2012,2.79,2.79,3.08,3.00,0.00,FACULDADE INTEGRADO DE CAMPO MOURÃO,CEI,Privada,Faculdade,CAMPO MOURAO,3.00,4.44,3.00,5.00,62,111,1,4104303,1078,4.67,2.79
ADMINISTRAÇÃO,PR,1,2012,1.87,1.79,1.58,2.89,0.74,FACULDADE ARTHUR THOMAS,CESA,Privada,Faculdade,LONDRINA,0.79,3.19,2.00,4.41,103,268,1,4113700,2513,3.68,1.85
ADMINISTRAÇÃO,MG,0,2012,1.96,2.28,1.81,3.54,0.29,CENTRO DE EDUCAÇÃO SUPERIOR BARNABITA,CESB,Privada,Faculdade,BELO HORIZONTE,1.67,1.87,3.00,3.98,24,42,1,3106200,4053,2.72,1.93
ADMINISTRAÇÃO,PR,1,2012,2.31,2.51,2.44,2.50,0.00,FACULDADES INTEGRADAS DOS CAMPOS GERAIS,CESCAGE,Privada,Faculdade,PONTA GROSSA,1.50,4.27,3.00,4.42,62,101,1,4119905,3193,4.33,2.31
ADMINISTRAÇÃO,RS,1,2012,2.57,2.37,2.95,3.87,0.68,CENTRO DE ENSINO SUPERIOR CENECISTA DE FARROUPILHA,CESF,Privada,Faculdade,FARROUPILHA,2.26,3.40,3.00,3.27,17,60,1,4307906,631,3.35,2.57
ADMINISTRAÇÃO,AM,0,2012,2.49,1.58,2.07,4.07,1.56,INSTITUTO DE ENSINO SUPERIOR FUCAPI,CESF,Privada,Faculdade,MANAUS,4.26,3.67,3.00,4.23,69,153,1,1302603,1049,3.89,2.48
