AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,Publica_1_Privada_0,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA (cod_curso),COD_IES,AMPLIACAOFORMACAO(NA),CPC FORMULA2013
ADMINISTRAÇÃO,ES,0,2012,"3,47","4,20","3,94","4,35","0,30",UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,VILA VELHA,"3,26","3,84","4,00","4,61",80,159,1,664,"4,15","3,46"
CIÊNCIAS CONTÁBEIS,ES,0,2012,"3,56","4,37","4,29","2,92","0,68",UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,VILA VELHA,"2,92","4,34","4,00","4,29",52,104,22,664,"4,32","3,56"
DIREITO,ES,0,2012,"2,49","2,22","2,17","4,21","1,05",UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,VILA VELHA,"3,07","3,55","3,00","4,15",222,308,2,664,"3,79","2,48"
JORNALISMO,ES,0,2012,"2,41","2,58","2,67","3,96","0,00",UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,VILA VELHA,"3,06","2,63","3,00","3,13",55,68,803,664,"2,83","2,40"
PSICOLOGIA,ES,0,2012,"3,27","3,22","3,18","4,70","0,94",UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,VILA VELHA,"3,86","4,79","4,00","5,00",60,103,18,664,"4,87","3,27"
PUBLICIDADE E PROPAGANDA,ES,0,2012,"2,78","3,12","3,02","3,50","0,00",UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,VILA VELHA,"3,16","3,79","3,00","4,15",54,88,804,664,"3,93","2,77"
RELAÇÕES INTERNACIONAIS,ES,0,2012,"2,86","2,35","2,96","4,30","0,91",UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,VILA VELHA,"3,18","4,00","3,00","4,80",24,29,81,664,"4,32","2,85"
ADMINISTRAÇÃO,RJ,0,2012,"3,55","3,38","3,43","4,47","2,58",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,CABO FRIO,"3,95","4,22","4,00","4,49",37,86,1,165,"4,33","3,55"
ADMINISTRAÇÃO,RJ,0,2012,"3,29","3,33","2,66","4,40","3,08",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RIO DE JANEIRO,"4,20","3,56","4,00","4,32",171,357,1,165,"3,87","3,28"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"2,57","2,24","1,65","4,35","2,89",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RIO DE JANEIRO,"3,39","3,16","3,00","3,94",139,318,22,165,"3,47","2,56"
