AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,PUB_PRIV,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA,COD_IES,AMPLIACAOFORMACAO_NA,CPC_FORMULA2013
FILOSOFIA (LICENCIATURA),RS,1,2011,3.38,2.86,2.93,4.63,3.89,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,UNIVERSIDADES,SANTA MARIA,5.00,1.70,4.00,4.58,28,37,3202,582,2.85,3.33
HISTÓRIA (LICENCIATURA),RS,1,2011,2.06,1.70,0.31,4.50,3.48,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,UNIVERSIDADES,SANTA MARIA,5.00,1.89,3.00,3.12,37,51,2402,582,2.38,2.04
CIÊNCIAS SOCIAIS (BACHARELADO),RS,1,2011,2.90,2.91,2.08,3.87,3.83,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,UNIVERSIDADES,SANTA MARIA,5.00,1.98,3.00,2.73,27,52,5401,582,2.28,2.89
ADMINISTRAÇÃO,RS,1,2012,3.85,4.08,4.20,4.89,3.50,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,PALMEIRA DAS MISSOES,5.00,2.28,4.00,1.73,86,107,1,582,2.06,3.86
ADMINISTRAÇÃO,RS,1,2012,3.81,4.49,3.34,4.24,4.18,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,SANTA MARIA,5.00,2.19,4.00,3.42,98,111,1,582,2.68,3.79
CIÊNCIAS CONTÁBEIS,RS,1,2012,3.56,4.31,3.60,4.29,2.33,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,SANTA MARIA,5.00,3.44,4.00,1.71,79,81,22,582,2.75,3.58
CIÊNCIAS ECONÔMICAS,RS,1,2012,2.67,2.37,2.51,4.15,2.69,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,SANTA MARIA,5.00,2.08,3.00,0.99,68,76,13,582,1.65,2.69
DIREITO,RS,1,2012,3.82,4.74,3.93,4.55,4.23,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,SANTA MARIA,5.00,1.47,4.00,0.44,74,92,2,582,1.06,3.83
JORNALISMO,RS,1,2012,3.82,4.10,4.45,4.22,2.09,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,FREDERICO WESTPHALEN,5.00,3.33,4.00,2.53,39,46,803,582,3.01,3.83
JORNALISMO,RS,1,2012,1.56,0.29,0.00,4.54,3.93,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,SANTA MARIA,5.00,0.83,2.00,1.74,29,32,803,582,1.20,1.54
PUBLICIDADE E PROPAGANDA,RS,1,2012,3.10,3.05,2.33,4.58,4.17,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Universidade,SANTA MARIA,5.00,2.17,4.00,2.20,30,31,804,582,2.18,3.10
