ANO,COD_AREA,AREA,NOME_IES,SIGLA_IES,MUNICIPIO,UF,REDE,ORG_ACADEMICA,UFSM,CPC_FAIXA,CPC_CONTINUO,NOTA_INFRA,NOTA_PEDAG,NOTA_REGIME,NOTA_DOUTOR,NOTA_IDD,NOTA_ENADE,NOTA_MESTRE,NOTA_AMPLIACAO,POSICAOBRASILCPC,POSICAORSCPC,POSICAOPUBLICABRASILCPC,POSICAOPUBLICARSCPC,POSICAOSULCPC,POSICAOIFESCPC,POSICAOBRASILINFRA,POSICAORSINFRA,POSICAOPUBLICABRASILINFRA,POSICAOPUBLICARSINFRA,POSICAOSULINFRA,POSICAOIFESINFRA,POSICAOBRASILPEDAG,POSICAORSPEDAG,POSICAOPUBLICABRASILPEDAG,POSICAOPUBLICARSPEDAG,POSICAOSULPEDAG,POSICAOIFESPEDAG,POSICAOBRASILREGIME,POSICAORSREGIME,POSICAOPUBLICABRASILREGIME,POSICAOPUBLICARSREGIME,POSICAOSULREGIME,POSICAOIFESREGIME,POSICAOBRASILDOUTOR,POSICAORSDOUTOR,POSICAOPUBLICABRASILDOUTOR,POSICAOPUBLICARSDOUTOR,POSICAOSULDOUTOR,POSICAOIFESDOUTOR,POSICAOBRASILIDD,POSICAORSIDD,POSICAOPUBLICABRASILIDD,POSICAOPUBLICARSIDD,POSICAOSULIDD,POSICAOIFESIDD,POSICAOBRASILENADE,POSICAORSENADE,POSICAOPUBLICABRASILENADE,POSICAOPUBLICARSENADE,POSICAOSULENADE,POSICAOIFESENADE,POSICAOBRASILMESTRE,POSICAORSMESTRE,POSICAOPUBLICABRASILMESTRE,POSICAOPUBLICARSMESTRE,POSICAOSULMESTRE,POSICAOIFESMESTRE,POSICAOBRASILAMPLIACAO,POSICAORSAMPLIACAO,POSICAOPUBLICABRASILAMPLIACAO,POSICAOPUBLICARSAMPLIACAO,POSICAOSULAMPLIACAO,POSICAOIFESAMPLIACAO,DISTANCIABRASILCPC,DISTANCIARSCPC,DISTANCIAPUBLICACPC,DISTANCIAPUBLICARSCPC,DISTANCIASULCPC,DISTANCIAIFESCPC,DISTANCIABRASILENADE,DISTANCIARSENADE,DISTANCIAPUBLICAENADE,DISTANCIAPUBLICARSENADE,DISTANCIASULENADE,DISTANCIAIFESENADE
2007,5,MEDICINA VETERINÁRIA,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,3,2.922,2.258,1.935,5,3.657,1.995,3.284,,,21,2,17,2,5,12,70,7,11,2,14,8,56,6,5,1,12,4,1,1,1,1,1,1,12,2,12,2,3,6,73,5,28,2,16,17,16,2,15,2,5,11,1,1,1,1,1,1,1,1,1,1,1,1,20.792,22.222,47.222,66.667,20.833,52.174,15.842,22.222,41.667,66.667,20.833,47.826
2007,12,MEDICINA,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,4,3.717,2.963,1.327,5,1.433,4.144,4.379,,,7,3,7,3,3,5,66,8,21,3,17,10,70,9,26,4,16,13,1,1,1,1,1,1,54,7,35,5,12,23,17,3,13,2,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.931,30,14.286,60,13.636,16.667,0.99,10,2.041,20,4.545,3.333
2007,17,AGRONOMIA,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,4,3.561,2.273,1.765,5,3.427,2.886,4.313,,,12,2,11,2,5,4,54,7,18,2,16,9,63,6,28,2,19,12,1,1,1,1,1,1,29,3,28,3,10,16,33,3,24,1,10,9,5,2,5,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,11.881,25,18.033,66.667,20,12.903,4.95,25,8.197,66.667,12,6.452
2007,19,FARMÁCIA,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,4,3.044,1.176,0.882,5,3.759,2.275,3.644,,,28,3,20,2,9,11,171,17,24,2,43,13,178,17,31,2,45,16,1,1,1,1,1,1,14,2,14,2,4,11,132,13,31,2,35,19,18,1,16,1,6,8,1,1,1,1,1,1,1,1,1,1,1,1,14.737,17.647,50,100,19.565,44,9.474,5.882,40,50,13.043,32
2007,23,ENFERMAGEM,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,4,3.512,1.842,1.429,5,2.987,2.856,4.443,,,22,2,22,2,7,12,281,24,42,3,65,17,309,25,61,4,70,25,1,1,1,1,1,1,41,4,30,3,8,19,128,13,49,3,39,23,6,1,6,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,6.627,8,29.73,50,9.722,37.5,1.807,4,8.108,25,4.167,6.25
2007,27,FONOAUDIOLOGIA,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,4,4.087,0,0,5,2.411,,4.927,,,4,1,3,1,2,3,54,5,8,1,12,5,52,5,8,1,12,5,1,1,1,1,1,1,10,1,6,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.143,0,30,0,16.667,50,1.786,20,10,100,8.333,16.667
2007,35,EDUCAÇÃO FÍSICA,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,4,3.662,3.923,1.667,5,5,2.954,3.949,,,11,1,11,1,3,4,115,13,8,2,37,2,290,24,46,2,72,15,1,1,1,1,1,1,1,1,1,1,1,1,146,16,37,2,44,15,13,1,10,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3.235,0,15.068,0,3.659,14.286,3.824,3.333,13.699,33.333,1.22,17.857
2007,51,ZOOTECNIA,Universidade Federal de Santa Maria,UFSM,SANTA MARIA,RS,PÚBLICA,N/A,0,3,2.677,2.742,0.833,5,2.333,1.878,3.331,,,23,1,21,1,6,9,23,1,10,1,4,2,43,1,30,1,7,14,1,1,1,1,1,1,25,1,23,1,5,13,33,1,26,1,7,10,15,1,14,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,47.917,0,61.765,0,75,56.25,31.25,100,41.176,100,50,37.5
2009,1,ADMINISTRAÇÃO,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,SANTA MARIA,RS,PÚBLICA,Universidade,0,5,4.224,2.441,1.913,5,5,3.958,4.428,4.571,,14,2,11,2,6,7,1114,87,75,4,267,27,1095,86,76,4,258,26,1,1,1,1,1,1,1,1,1,1,1,1,188,22,26,3,46,14,42,4,30,4,10,17,60,9,18,2,16,10,1,1,1,1,1,1,1.042,2.151,7.483,40,2.027,13.725,3.125,4.301,20.408,80,3.378,33.333
2009,2,DIREITO,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,SANTA MARIA,RS,PÚBLICA,Universidade,0,4,3.735,0.207,0.838,5,3.032,3.975,4.888,3.657,,13,2,6,2,2,6,720,58,76,4,163,34,712,56,69,2,160,27,1,1,1,1,1,1,81,5,29,3,13,24,80,5,13,2,15,5,2,1,2,1,1,2,164,30,26,1,51,14,1,1,1,1,1,1,1.752,3.448,6.452,50,1.22,13.333,0.27,1.724,2.151,25,0.61,4.444
