campus,area,codigo_curso,uf,municipio
CAMPUS CACHOEIRA DO SUL,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS CACHOEIRA DO SUL,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS CACHOEIRA DO SUL,ARQUITETURA E URBANISMO,21,SP,Sorocaba
CAMPUS CACHOEIRA DO SUL,ARQUITETURA E URBANISMO,21,RS,Candelária
CAMPUS CACHOEIRA DO SUL,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS CACHOEIRA DO SUL,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS CACHOEIRA DO SUL,ARQUITETURA E URBANISMO,21,RS,Bento Gonçalves
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Cachoeira do Sul
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Jaguarão
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Cachoeira do Sul
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Agudo
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Cachoeira do Sul
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,São Leopoldo
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Cachoeira do Sul
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Santa Maria
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Cachoeira do Sul
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Júlio de Castilhos
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Vera Cruz
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Cachoeira do Sul
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,RS,Gravataí
CAMPUS CACHOEIRA DO SUL,ENGENHARIA AGRÍCOLA,0,SP,São Paulo
