ano,codies,nomeies,sigla,Publica,categoriaadm,orgacademica,uf,igc_continuo,igc_faixa
2013,14509,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IFBAIANO,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",BA,0.00,0
2013,5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IF Catarinense,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",SC,0.00,0
2013,18440,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,1,Pública,Universidade,PA,0.00,0
2013,5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,UNEAL,1,Pública,Universidade,AL,0.00,0
2013,15520,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",IFMS,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",MS,0.00,0
2013,15497,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,1,Pública,Universidade,CE,0.00,0
2013,264,UNIVERSIDADE SÃO MARCOS,USM,0,Privada sem fins lucrativos,Universidade,SP,0.00,0
2013,15121,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,1,Pública,Universidade,SC,0.00,0
2013,581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,1,Pública,Universidade,RS,4.30,5
2013,4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,1,Pública,Universidade,SP,4.20,5
2013,592,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,1,Pública,Universidade,MG,4.19,5
2013,54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,1,Pública,Universidade,SP,4.18,5
2013,575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,1,Pública,Universidade,MG,4.14,5
2013,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,1,Pública,Universidade,MG,4.07,5
2013,591,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,1,Pública,Universidade,SP,4.05,5
2013,585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,1,Pública,Universidade,SC,4.02,5
2013,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,1,Pública,Universidade,SP,4.01,5
2013,2,UNIVERSIDADE DE BRASÍLIA,UNB,1,Pública,Universidade,DF,3.94,4
2013,1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,1,Pública,Universidade,RJ,3.91,4
2013,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,1,Pública,Universidade,RJ,3.86,4
2013,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,1,Pública,Universidade,SP,3.85,4
2013,717,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,1,Pública,Universidade,RS,3.82,4
2013,597,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,1,Pública,Universidade,MG,3.74,4
2013,528,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,0,Privada,Universidade,RJ,3.72,4
2013,582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Pública,Universidade,RS,3.72,4
2013,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,1,Pública,Universidade,SC,3.69,4
2013,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,1,Pública,Universidade,RN,3.68,4
2013,598,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,UNIFEI,1,Pública,Universidade,MG,3.67,4
2013,576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,1,Pública,Universidade,MG,3.66,4
2013,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,1,Pública,Universidade,PR,3.64,4
2013,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,1,Pública,Universidade,GO,3.62,4
2013,583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,1,Pública,Universidade,CE,3.62,4
2013,588,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,1,Pública,Universidade,PR,3.60,4
2013,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,1,Pública,Universidade,MG,3.60,4
2013,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,1,Pública,Universidade,PR,3.58,4
2013,571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,1,Pública,Universidade,PR,3.58,4
2013,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,0,Privada,Universidade,RS,3.57,4
2013,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,0,Privada,Universidade,RS,3.57,4
2013,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,1,Pública Federal,Universidade,PE,3.56,4
2013,595,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,1,Pública,Universidade,MG,3.56,4
2013,1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,1,Pública,Universidade,PR,3.51,4
2013,4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,1,Pública,Universidade,MS,3.50,4
2013,634,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,1,Pública,Universidade,RS,3.50,4
2013,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,1,Pública,Universidade,MG,3.49,4
2013,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,1,Pública,Universidade,PR,3.47,4
2013,579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,1,Pública,Universidade,PB,3.44,4
2013,2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,1,Pública,Universidade,PB,3.43,4
2013,546,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,0,Privada,Universidade,SP,3.41,4
2013,574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,1,Pública,Universidade,RJ,3.41,4
2013,1808,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",ES,3.39,4
2013,578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,1,Pública,Universidade,BA,3.38,4
2013,596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,1,Pública,Universidade,MG,3.37,4
2013,3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",IFSC,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",SC,3.37,4
2013,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,1,Pública,Universidade,MG,3.36,4
2013,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,1,Pública,Universidade,RS,3.35,4
2013,322,UNIVERSIDADE PAULISTA,UNIP,0,Privada,Universidade,SP,3.35,4
2013,1578,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",RS,3.35,4
2013,730,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,1,Pública,Universidade,PR,3.34,4
2013,601,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",RS,3.33,4
2013,693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,1,Pública,Universidade,RJ,3.32,4
2013,3165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",MG,3.26,4
2013,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,1,Pública,Universidade,RJ,3.26,4
2013,23,UNIVERSIDADE FEEVALE,FEEVALE,0,Privada,Universidade,RS,3.25,4
2013,4358,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IF SUL DE MINAS,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",MG,3.25,4
2013,165,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RJ,3.23,4
2013,589,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,1,Pública,Universidade,RN,3.23,4
2013,5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,UNIPAMPA,1,Pública,Universidade,RS,3.22,4
2013,295,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,0,Privada,Universidade,RS,3.20,4
2013,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,1,Pública,Universidade,RS,3.20,4
2013,1042,UNIVERSIDADE POSITIVO,UP,0,Privada,Universidade,PR,3.19,4
2013,532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,0,Privada,Universidade,RS,3.19,4
2013,83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,0,Privada,Universidade,SC,3.14,4
2013,208,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,0,Privada,Universidade,SP,3.13,4
2013,573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,1,Pública,Universidade,ES,3.13,4
2013,1082,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",RN,3.12,4
2013,137,UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,Privada,Universidade,SP,3.11,4
2013,4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,1,Pública,Universidade,BA,3.10,4
2013,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,0,Privada,Universidade,RS,3.09,4
2013,420,UNIVERSIDADE DE MARÍLIA,UNIMAR,0,Privada,Universidade,SP,3.08,4
2013,271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,0,Privada,Universidade,SP,3.07,4
2013,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,1,Pública,Universidade,SE,3.05,4
