_id,ano,municipio,codigo_curso,nome_curso,centro,CPCCONTINUO,nc,nidd,nm,nd,nr,no,nf,na,cpc_f2013,t_ies_br,t_ies_sul,t_ies_rs,t_ifes_br,t_ifes_sul,t_ifes_rs,id_centro,POSICAOBRASILCPC,POSICAORSCPC,POSICAOPUBLICABRASILCPC,POSICAOPUBLICARSCPC,POSICAOSULCPC,POSICAOIFESCPC,POSICAOBRASILINFRA,POSICAORSINFRA,POSICAOPUBLICABRASILINFRA,POSICAOPUBLICARSINFRA,POSICAOSULINFRA,POSICAOIFESINFRA,POSICAOBRASILPEDAG,POSICAORSPEDAG,POSICAOPUBLICABRASILPEDAG,POSICAOPUBLICARSPEDAG,POSICAOSULPEDAG,POSICAOIFESPEDAG,POSICAOBRASILREGIME,POSICAORSREGIME,POSICAOPUBLICABRASILREGIME,POSICAOPUBLICARSREGIME,POSICAOSULREGIME,POSICAOIFESREGIME,POSICAOBRASILDOUTOR,POSICAORSDOUTOR,POSICAOPUBLICABRASILDOUTOR,POSICAOPUBLICARSDOUTOR,POSICAOSULDOUTOR,POSICAOIFESDOUTOR,POSICAOBRASILIDD,POSICAORSIDD,POSICAOPUBLICABRASILIDD,POSICAOPUBLICARSIDD,POSICAOSULIDD,POSICAOIFESIDD,POSICAOBRASILENADE,POSICAORSENADE,POSICAOPUBLICABRASILENADE,POSICAOPUBLICARSENADE,POSICAOSULENADE,POSICAOIFESENADE,POSICAOBRASILMESTRE,POSICAORSMESTRE,POSICAOPUBLICABRASILMESTRE,POSICAOPUBLICARSMESTRE,POSICAOSULMESTRE,POSICAOIFESMESTRE,POSICAOBRASILAMPLIACAO,POSICAORSAMPLIACAO,POSICAOPUBLICABRASILAMPLIACAO,POSICAOPUBLICARSAMPLIACAO,POSICAOSULAMPLIACAO,POSICAOIFESAMPLIACAO,DISTANCIABRASILCPC,DISTANCIARSCPC,DISTANCIAPUBLICACPC,DISTANCIAPUBLICARSCPC,DISTANCIASULCPC,DISTANCIAIFESCPC,DISTANCIABRASILENADE,DISTANCIARSENADE,DISTANCIAPUBLICAENADE,DISTANCIAPUBLICARSENADE,DISTANCIASULENADE,DISTANCIAIFESENADE,media_ies_br,media_ies_sul,media_ies_rs,media_ifes_br,media_ifes_sul,media_ifes_rs,max_ies_br,max_ies_sul,max_ies_rs,max_ifes_br,max_ifes_sul,max_ifes_rs,CPC_FAIXA
46,2011,SANTA MARIA,2501,ARTES VISUAIS (LICENCIATURA),CAL,2.92,2.73,3.09,4.56,2.24,5,1.05,2.15,1.49,2.9,67,23,8,34,12,4,1,35,8,23,4,16,15,55,8,23,4,23,12,60,8,28,4,21,18,1,1,1,1,1,1,22,3,17,3,8,12,27,4,18,2,9,12,39,8,25,4,17,16,14,2,6,2,6,4,1,1,1,1,1,1,"52,239",100,"67,647",100,"69,565",75,"58,209",100,"73,529",100,"73,913",80,2.84,3.02,3.24,3.02,3.23,3.3,4.43,4.43,4.01,4.43,4.43,4.01,3
99,2014,SANTA MARIA,2501,ARTES VISUAIS (LICENCIATURA),CAL,3.75,2.91,4.85,5,2.83,5,2.16,1.54,2.25,3.75,82,29,9,35,13,5,1,3,2,1,1,2,1,68,8,24,4,25,14,55,6,17,3,24,8,1,1,1,1,1,1,20,4,17,4,6,12,3,2,1,1,2,1,32,6,21,3,11,12,1,1,1,1,1,1,62,9,24,5,25,14,"3,659","22,222",0,0,"6,897",0,"39,024","66,667",60,60,"37,931",60,2.76,2.75,3.04,2.84,2.78,3.11,4.58,3.9,3.9,3.75,3.75,3.75,4
107,2014,SANTA MARIA,5401,CIÊNCIAS SOCIAIS (BACHARELADO),CAL,3.14,2.7,2.54,4.14,3.76,5,2.86,3.37,3.14,3.14,61,10,5,51,8,3,5,15,1,11,1,4,8,13,3,5,1,4,4,15,3,8,1,4,5,1,1,1,1,1,1,30,3,25,3,6,20,14,1,11,1,3,8,30,3,23,2,7,20,37,2,30,2,6,22,11,1,6,1,2,5,24.59,0,"21,569",0,40,"21,053",49.18,60,"45,098","66,667",70,"52,632",2.71,2.93,2.54,2.71,3.18,2.95,3.82,3.78,3.14,3.82,3.78,3.14,4
18,2009,SANTA MARIA,26,DESIGN,CAL,3.18,3.92,2.53,4.27,2.96,5,1.39,2.96,2.02,3.11,112,36,13,23,8,2,1,12,3,9,2,6,5,68,11,4,1,28,1,101,13,17,2,34,11,1,1,1,1,1,1,13,3,10,2,4,8,56,11,13,2,24,7,11,3,8,2,8,4,9,3,5,1,5,3,1,1,1,1,1,1,"10,714","23,077",39.13,100,"16,667","35,714","9,821","23,077","34,783",100,"22,222","28,571",2.2,2.53,2.74,2.94,3.16,3.38,4.11,3.74,3.59,4.11,3.74,3.59,4
65,2012,SANTA MARIA,26,DESIGN,CAL,3.69,3.86,4.14,4.19,2.82,5,1.55,3.29,2.24,3.67,117,44,15,33,12,3,1,7,4,4,2,6,4,82,11,11,1,37,3,105,15,25,3,44,14,1,1,1,1,1,1,19,3,11,3,5,8,8,4,5,2,5,5,8,3,7,2,4,6,22,7,12,3,9,11,1,1,1,1,1,1,"5,983","26,667","12,121","66,667","13,636","21,053","6,838",20,"21,212","66,667","9,091","31,579",2.67,2.86,3.16,2.95,3.16,3.98,4.57,4.57,4.57,4.57,4.57,4.57,4
37,2011,SANTA MARIA,902,LETRAS (LICENCIATURA),CAL,2.93,2.49,1.91,4.81,3.47,5,2.32,4.42,3.16,2.9,424,59,25,185,24,6,1,135,21,60,6,37,27,153,16,17,2,34,4,325,23,112,5,47,38,1,1,1,1,1,1,37,5,26,3,9,20,318,23,146,6,52,46,240,22,113,6,48,39,49,15,19,3,22,9,1,1,1,1,1,1,31.84,84,"32,432",100,"62,712","46,552","56,604",88,"61,081",100,"81,356","67,241",2.65,3.1,3.2,2.6,3.2,3.18,4.51,4.19,4.15,4.51,4.19,3.46,3
87,2014,SANTA MARIA,903,LETRAS-PORTUGUÊS (BACHARELADO),CAL,2.75,2.03,2.45,4.35,4.57,5,0,1.37,1.33,2.75,27,5,1,19,5,1,1,16,1,11,1,4,7,17,1,9,1,2,5,27,1,19,1,5,12,1,1,1,1,1,1,6,1,6,1,3,5,13,1,8,1,3,5,17,1,11,1,3,8,17,1,12,1,4,7,22,1,15,1,4,9,"59,259",0,"57,895",0,80,"58,333","62,963",100,"57,895",100,60,"66,667",2.82,2.83,2.75,2.83,2.83,2.75,4.09,3.96,2.75,4.09,3.96,2.75,3
88,2014,SANTA MARIA,904,LETRAS-PORTUGUÊS (LICENCIATURA),CAL,3.32,3.66,3.12,4.57,4.05,5,0.24,1.97,2.16,3.32,203,30,13,121,14,2,1,31,6,15,1,11,11,152,13,74,2,26,32,200,13,118,2,30,45,1,1,1,1,1,1,20,2,18,1,4,12,44,8,19,1,12,9,24,5,14,1,8,9,68,8,34,1,14,18,167,13,94,2,29,39,"15,271","46,154","12,397",0,"36,667","23,404","11,823","38,462",11.57,50,"26,667","19,149",2.69,3.05,3.19,2.65,3,3.12,4.05,4,4,4.05,3.93,3.32,4
89,2014,SANTA MARIA,905,LETRAS-PORTUGUÊS E INGLÊS (LICENCIATURA),CAL,3.3,3.57,2.9,4.41,3.38,5,2.2,2.38,2.72,3.3,295,50,18,102,19,3,1,51,8,22,2,15,12,234,17,57,2,40,18,213,11,58,1,29,15,1,1,1,1,1,1,36,5,19,3,7,13,115,12,40,2,29,14,25,5,13,3,9,9,125,16,41,3,30,19,163,9,47,1,30,14,"17,288","44,444","21,569","66,667",30,37.5,"8,475","27,778","12,745",100,18,"28,125",2.71,2.99,3.16,2.69,3.04,3.44,4.05,4.05,4.05,4.05,4.05,4.05,4
20,2009,SANTA MARIA,43,MÚSICA,CAL,3.75,3.72,4.64,3.61,3.41,5,1.26,3.18,2.03,3.83,57,14,5,39,10,3,1,5,2,5,2,2,4,11,2,5,2,2,5,42,5,27,3,10,17,1,1,1,1,1,1,9,2,8,2,4,6,13,2,8,2,4,5,5,2,4,2,2,4,29,5,21,3,12,14,1,1,1,1,1,1,"8,772",40,"12,821","66,667","14,286","16,667","8,772",40,"10,256","66,667","14,286","16,667",2.37,2.26,2.68,2.55,2.56,3.29,4.15,4.15,4.15,4.15,4.15,4.15,4
52,2011,SANTA MARIA,4301,MÚSICA (LICENCIATURA),CAL,1.48,0.3,0.3,3.06,2.9,5,1.6,2.08,1.79,1.47,60,16,5,39,11,3,1,58,5,39,3,15,24,51,5,32,3,15,19,49,5,31,3,11,21,1,1,1,1,1,1,18,2,16,2,4,14,60,5,39,3,16,24,60,5,39,3,16,24,38,5,26,3,13,19,1,1,1,1,1,1,"96,667",100,100,100,93.75,100,100,100,100,100,100,100,2.6,2.7,2.63,2.75,2.88,2.68,4.45,4.45,4.33,4.45,4.45,4.33,2
106,2014,SANTA MARIA,4301,MÚSICA (LICENCIATURA),CAL,3.19,3.31,3.9,3.56,2,5,1.1,1.97,1.61,3.19,65,17,7,39,11,4,1,4,1,1,1,1,1,45,5,22,2,13,15,60,7,34,4,16,24,1,1,1,1,1,1,27,2,23,2,5,18,5,1,3,1,2,2,6,2,3,2,2,2,40,4,23,2,8,19,50,7,31,4,14,21,"6,154",0,0,0,0,0,"9,231","28,571","7,692",50,"11,765","7,692",2.4,2.49,2.46,2.47,2.6,2.65,3.68,3.19,3.19,3.19,3.19,3.19,4
19,2009,SANTA MARIA,39,TEATRO,CAL,3.27,5,4.62,2.7,0,5,2.14,2.08,2.11,3.51,32,6,2,21,6,2,1,7,1,7,1,3,4,16,1,5,1,4,1,18,2,10,2,4,7,1,1,1,1,1,1,30,2,20,2,6,15,14,1,9,1,2,7,1,1,1,1,1,1,22,2,17,2,6,12,1,1,1,1,1,1,"21,875",0,"33,333",0,50,"26,667","3,125",50,"4,762",50,"16,667","6,667",2.56,3,3.1,2.71,3,3.1,4.17,4.13,3.27,4.17,4.13,3.27,4
