_id,Ano,Municipio,codigo_curso,nome_curso,centro,CPC_Continuo,nc,nidd,nm,nd,nr,no,nf,na,cpc_f2013,t_ies_br,t_ies_sul,t_ies_rs,t_ifes_br,t_ifes_sul,t_ifes_rs,posicaobrasilcpc,posicaorscpc,posicaopublicabrasilcpc,posicaopublicarscpc,posicaosulcpc,posicaoifescpc,posicaobrasilinfra,posicaorsinfra,posicaopublicabrasilinfra,posicaopublicarsinfra,posicaosulinfra,posicaoifesinfra,posicaobrasilpedag,posicaorspedag,posicaopublicabrasilpedag,posicaopublicarspedag,posicaosulpedag,posicaoifespedag,posicaobrasilregime,posicaorsregime,posicaopublicabrasilregime,posicaopublicarsregime,posicaosulregime,posicaoifesregime,posicaobrasildoutor,posicaorsdoutor,posicaopublicabrasildoutor,posicaopublicarsdoutor,posicaosuldoutor,posicaoifesdoutor,posicaobrasilidd,posicaorsidd,posicaopublicabrasilidd,posicaopublicarsidd,posicaosulidd,posicaoifesidd,posicaobrasilenade,posicaorsenade,posicaopublicabrasilenade,posicaopublicarsenade,posicaosulenade,posicaoifesenade,posicaobrasilmestre,posicaorsmestre,posicaopublicabrasilmestre,posicaopublicarsmestre,posicaosulmestre,posicaoifesmestre,posicaobrasilampliacao,posicaorsampliacao,posicaopublicabrasilampliacao,posicaopublicarsampliacao,posicaosulampliacao,posicaoifesampliacao,distanciabrasilcpc,distanciarscpc,distanciapublicacpc,distanciapublicarscpc,distanciasulcpc,distanciaifescpc,distanciabrasilenade,distanciarsenade,distanciapublicaenade,distanciapublicarsenade,distanciasulenade,distanciaifesenade,media_ies_br,media_ies_sul,media_ies_rs,media_ifes_br,media_ifes_sul,media_ifes_rs,max_ies_br,max_ies_sul,max_ies_rs,max_ifes_br,max_ifes_sul,max_ifes_rs,CPC_Faixa,Concluintes_Inscritos,Concluintes_Participantes,Concluintes_Participantes_nota_Enem,Num_Docentes,Num_Matrículas,id_centro,Enade_Faixa,Obs
,2007,SANTA MARIA,5,MEDICINA VETERINÁRIA,CCR,2.9221,3.2836,1.9954,,3.6567,5,1.9355,2.2581,2.06454,,101,24,9,36,10,3,21,2,17,2,5,5,70,7,11,2,14,2,56,6,5,1,12,1,1,1,1,1,1,1,12,2,12,2,3,3,65,4,25,2,13,8,16,2,15,2,5,5,,,,,,,65,7,5,2,14,2,,,,,,,,,,,,,2.42,2.33,2.26,2.97,2.92,3.19,4.11,4.11,4.11,4.11,4.11,4.11,3,,34,,67,,3,4,
,2007,SANTA MARIA,6,ODONTOLOGIA,CCS,,,3.0055,,2.0833,5,2.2222,3.3333,2.66664,,148,29,8,44,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.94,3.03,3.26,3.42,3.66,4.24,4.11,4.02,4.24,4.11,4.02,SC,,21,,60,,4,,
,2007,SANTA MARIA,12,MEDICINA,CCS,3.7173,4.379,4.144,,1.4331,5,1.3269,2.963,1.98134,,101,22,10,49,13,5,7,3,7,3,3,3,66,8,21,3,17,9,70,9,26,4,16,8,1,1,1,1,1,1,54,7,35,5,12,9,6,2,6,2,2,2,1,1,1,1,1,1,,,,,,,71,8,23,3,16,8,,,,,,,,,,,,,2.44,2.67,3.02,2.7,2.69,3.48,4.03,4.01,4.01,4.03,4.01,4.01,4,,33,,90,,4,5,
,2007,FREDERICO WESTPHALEN,17,AGRONOMIA,FW Campus,,,,,5,5,,,,,101,25,8,62,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.87,2.84,2.79,3.16,3.28,4,3.97,3.74,4,3.97,3.74,SC,,0,,3,,8,,
,2007,SANTA MARIA,17,AGRONOMIA,CCR,3.5606,4.3126,2.8858,,3.427,5,1.7647,2.2727,1.9679,,101,25,8,62,15,3,12,2,11,2,5,5,54,7,19,2,16,6,63,6,29,2,19,10,1,1,1,1,1,1,29,3,28,3,10,10,19,2,14,1,8,7,5,2,5,2,3,3,,,,,,,65,7,28,2,21,11,,,,,,,,,,,,,2.62,2.87,2.84,2.79,3.16,3.28,4,3.97,3.74,4,3.97,3.74,4,,40,,89,,3,5,
,2007,SANTA MARIA,19,FARMÁCIA,CCS,3.0437,3.6444,2.2754,,3.7594,5,0.8824,1.1765,1.00004,,190,46,17,41,11,2,28,3,20,2,9,7,171,17,25,2,43,9,178,17,32,2,45,10,1,1,1,1,1,1,14,2,14,2,4,4,118,13,28,2,31,8,18,1,16,1,6,6,,,,,,,180,17,32,2,45,10,,,,,,,,,,,,,2.32,2.52,2.5,2.97,3.21,3.1,4.32,4.32,3.17,4.32,4.32,3.16,4,,23,,63,,4,4,
,2007,PALMEIRA DAS MISSOES,23,ENFERMAGEM,PM Campus,,,,,3.0333,5,,,,,332,72,25,74,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.48,2.62,3,3.03,3.45,4.75,4.25,3.83,4.75,4.25,3.83,SC,,0,,10,,9,,
,2007,SANTA MARIA,23,ENFERMAGEM,CCS,3.5116,4.4425,2.8557,,2.9874,5,1.4286,1.8421,1.594,,332,72,25,74,19,4,22,2,22,2,7,7,281,24,42,3,65,16,309,25,61,4,70,17,1,1,1,1,1,1,41,4,30,3,8,7,100,11,40,3,31,11,6,1,6,1,3,3,,,,,,,304,25,56,4,71,18,,,,,,,,,,,,,2.31,2.48,2.62,3,3.03,3.45,4.75,4.25,3.83,4.75,4.25,3.83,4,,16,,33,,4,5,
,2007,SANTA MARIA,27,FONOAUDIOLOGIA,CCS,4.0871,4.9272,,,2.4107,5,0,0,0,,56,12,5,56,12,5,4,1,4,1,2,2,54,5,54,5,12,12,52,5,52,5,12,12,1,1,1,1,1,1,10,1,10,1,2,2,,,,,,,1,1,1,1,1,1,,,,,,,55,5,55,5,12,12,,,,,,,,,,,,,2.84,3.24,3.08,2.84,3.24,3.08,4.33,4.17,4.09,4.33,4.17,4.09,4,,9,,21,,4,5,
,2007,SANTA MARIA,3501,EDUCAÇÃO FÍSICA (BACHARELADO),CEFD,3.6621,3.9493,2.9536,,5,5,1.6667,3.9234,2.56938,,340,82,30,340,82,30,11,1,11,1,3,3,115,13,115,13,37,37,290,24,290,24,72,72,1,1,1,1,1,1,1,1,1,1,1,1,89,12,89,12,27,27,13,1,13,1,1,1,,,,,,,234,24,234,24,67,67,,,,,,,,,,,,,2.4,2.59,2.72,2.4,2.59,2.72,4.46,4.09,3.66,4.46,4.09,3.66,4,,35,,47,,7,5,
,2007,SANTA MARIA,36,FISIOTERAPIA,CCS,,,,,3.4211,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,0,,38,,4,,
,2007,PALMEIRA DAS MISSOES,51,ZOOTECNIA,PM Campus,,,,,2.8571,5,,,,,48,8,1,48,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,3.04,2.68,2.64,3.04,2.68,4.42,4.2,2.68,4.42,4.2,2.68,SC,,0,,7,,9,,
