ano,id_area,id_centro,id_indicador,indicador,Valor_Indicador,pos_br,pos_sul,pos_rs,pos_pub_br,pos_pub_sul,pos_pub_rs,max_br,max_sul,max_rs,max_pub_br,max_pub_sul,max_pub_rs,media_br,media_sul,media_rs,media_pub_br,media_pub_sul,media_pub_rs,total_br,total_sul,total_rs,total_pub_br,total_pub_sul,total_pub_rs
2007,5,3,1,CPC_Continuo,2.92,21,5,2,17,5,2,4.11,4.11,4.11,4.11,4.11,4.11,2.42,2.33,2.26,2.97,2.92,3.19,101,24,9,36,10,3
2007,5,3,2,Nota_Continua_Enade,3.28,16,5,2,15,5,2,4.67,3.95,3.95,4.67,3.95,3.95,2.24,2.18,2.13,3.17,3.28,3.5,101,24,9,36,10,3
2007,5,3,3,Nota_Padronizada_IDD,2.0,65,13,4,25,8,2,5.0,5.0,5.0,5.0,5.0,5.0,2.52,2.41,2.18,2.76,2.65,2.7,101,24,9,36,10,3
2007,5,3,4,Nota_Padronizada_Infraestrutura,2.26,70,14,7,11,2,2,5.0,4.67,4.67,5.0,3.1,3.1,2.98,2.87,3.09,1.65,1.46,2.06,101,24,9,36,10,3
2007,6,4,1,CPC_Continuo,,,,,,,,4.24,4.11,4.02,4.24,4.11,4.02,2.53,2.94,3.03,3.26,3.42,3.66,148,29,8,44,10,2
2007,6,4,2,Nota_Continua_Enade,,,,,,,,4.9,4.9,4.9,4.9,4.9,4.9,2.61,3.12,3.41,3.68,3.94,4.63,148,29,8,44,10,2
2007,6,4,3,Nota_Padronizada_IDD,3.01,,,,,,,5.0,5.0,3.93,5.0,5.0,3.36,2.48,2.98,2.92,3.05,3.4,2.91,148,29,8,44,10,2
2007,6,4,4,Nota_Padronizada_Infraestrutura,3.33,,,,,,,5.0,5.0,5.0,5.0,5.0,2.42,3.81,3.85,4.13,2.78,2.71,2.12,148,29,8,44,10,2
2007,12,4,1,CPC_Continuo,3.72,7,3,3,7,3,3,4.03,4.01,4.01,4.03,4.01,4.01,2.44,2.67,3.02,2.7,2.69,3.48,101,22,10,49,13,5
2007,12,4,2,Nota_Continua_Enade,4.38,1,1,1,1,1,1,4.38,4.38,4.38,4.38,4.38,4.38,2.44,2.9,3.44,2.84,2.89,3.95,101,22,10,49,13,5
2007,12,4,3,Nota_Padronizada_IDD,4.14,6,2,2,6,2,2,5.0,4.34,4.34,5.0,4.34,4.34,2.39,2.56,2.81,2.62,2.61,3.49,101,22,10,49,13,5
2007,12,4,4,Nota_Padronizada_Infraestrutura,2.96,66,17,8,21,9,3,5.0,4.81,4.78,4.81,4.81,4.0,3.25,3.49,3.45,2.68,3.21,2.89,101,22,10,49,13,5
2007,17,3,1,CPC_Continuo,3.56,12,5,2,11,5,2,4.0,3.97,3.74,4.0,3.97,3.74,2.62,2.87,2.84,2.79,3.16,3.28,101,25,8,62,15,3
2007,17,3,2,Nota_Continua_Enade,4.31,5,3,2,5,3,2,4.64,4.41,4.39,4.64,4.41,4.39,2.83,3.23,3.37,3.06,3.59,3.97,101,25,8,62,15,3
2007,17,3,3,Nota_Padronizada_IDD,2.89,19,8,2,14,7,1,5.0,4.18,3.05,5.0,4.18,2.89,2.12,2.29,2.08,2.22,2.53,2.01,101,25,8,62,15,3
2007,17,3,4,Nota_Padronizada_Infraestrutura,2.27,55,16,7,20,6,2,5.0,4.72,4.5,5.0,3.7,2.67,2.53,2.96,3.25,1.87,2.25,2.38,101,25,8,62,15,3
2007,17,8,1,CPC_Continuo,,,,,,,,4.0,3.97,3.74,4.0,3.97,3.74,2.62,2.87,2.84,2.79,3.16,3.28,101,25,8,62,15,3
2007,17,8,2,Nota_Continua_Enade,,,,,,,,4.64,4.41,4.39,4.64,4.41,4.39,2.83,3.23,3.37,3.06,3.59,3.97,101,25,8,62,15,3
2007,17,8,3,Nota_Padronizada_IDD,,,,,,,,5.0,4.18,3.05,5.0,4.18,2.89,2.12,2.29,2.08,2.22,2.53,2.01,101,25,8,62,15,3
2007,17,8,4,Nota_Padronizada_Infraestrutura,,,,,,,,5.0,4.72,4.5,5.0,3.7,2.67,2.53,2.96,3.25,1.87,2.25,2.38,101,25,8,62,15,3
2007,19,4,1,CPC_Continuo,3.04,28,9,3,20,7,2,4.32,4.32,3.17,4.32,4.32,3.16,2.32,2.52,2.5,2.97,3.21,3.1,190,46,17,41,11,2
2007,19,4,2,Nota_Continua_Enade,3.64,18,6,1,16,6,1,4.86,4.65,3.64,4.86,4.65,3.64,1.94,2.06,2.02,3.06,3.24,3.35,190,46,17,41,11,2
2007,19,4,3,Nota_Padronizada_IDD,2.28,118,31,13,28,8,2,5.0,5.0,4.3,5.0,5.0,2.44,2.74,2.98,2.84,3.0,3.36,2.36,190,46,17,41,11,2
2007,19,4,4,Nota_Padronizada_Infraestrutura,1.18,172,43,17,26,9,2,5.0,5.0,5.0,4.32,4.32,2.03,3.17,3.51,3.87,1.68,2.14,1.6,190,46,17,41,11,2
2007,23,4,1,CPC_Continuo,3.51,22,7,2,22,7,2,4.75,4.25,3.83,4.75,4.25,3.83,2.31,2.48,2.62,3.0,3.03,3.45,332,72,25,74,19,4
2007,23,4,2,Nota_Continua_Enade,4.44,6,3,1,6,3,1,4.77,4.66,4.44,4.77,4.66,4.44,2.17,2.39,2.54,3.09,3.23,3.84,332,72,25,74,19,4
2007,23,4,3,Nota_Padronizada_IDD,2.86,100,31,11,40,11,3,5.0,5.0,3.74,5.0,5.0,3.61,2.48,2.7,2.71,3.03,3.11,2.92,332,72,25,74,19,4
2007,23,4,4,Nota_Padronizada_Infraestrutura,1.84,283,66,24,42,16,3,5.0,5.0,4.73,5.0,5.0,3.42,3.18,3.41,3.58,2.22,2.9,2.46,332,72,25,74,19,4
2007,23,9,1,CPC_Continuo,,,,,,,,4.75,4.25,3.83,4.75,4.25,3.83,2.31,2.48,2.62,3.0,3.03,3.45,332,72,25,74,19,4
2007,23,9,2,Nota_Continua_Enade,,,,,,,,4.77,4.66,4.44,4.77,4.66,4.44,2.17,2.39,2.54,3.09,3.23,3.84,332,72,25,74,19,4
2007,23,9,3,Nota_Padronizada_IDD,,,,,,,,5.0,5.0,3.74,5.0,5.0,3.61,2.48,2.7,2.71,3.03,3.11,2.92,332,72,25,74,19,4
2007,23,9,4,Nota_Padronizada_Infraestrutura,,,,,,,,5.0,5.0,4.73,5.0,5.0,3.42,3.18,3.41,3.58,2.22,2.9,2.46,332,72,25,74,19,4
2007,27,4,1,CPC_Continuo,4.09,4,2,1,4,2,1,4.33,4.17,4.09,4.33,4.17,4.09,2.84,3.24,3.08,2.84,3.24,3.08,56,12,5,56,12,5
2007,27,4,2,Nota_Continua_Enade,4.93,1,1,1,1,1,1,4.93,4.93,4.93,4.93,4.93,4.93,3.29,3.77,3.73,3.29,3.77,3.73,56,12,5,56,12,5
2007,27,4,4,Nota_Padronizada_Infraestrutura,0.0,56,12,5,56,12,5,5.0,5.0,4.64,5.0,5.0,4.64,3.4,3.9,3.09,3.4,3.9,3.09,56,12,5,56,12,5
2007,51,3,1,CPC_Continuo,2.68,23,6,1,23,6,1,4.42,4.2,2.68,4.42,4.2,2.68,2.64,3.04,2.68,2.64,3.04,2.68,48,8,1,48,8,1
2007,51,3,2,Nota_Continua_Enade,3.33,15,4,1,15,4,1,4.62,4.59,3.33,4.62,4.59,3.33,2.76,3.2,3.33,2.76,3.2,3.33,48,8,1,48,8,1
2007,51,3,3,Nota_Padronizada_IDD,1.88,18,4,1,18,4,1,5.0,3.5,1.88,5.0,3.5,1.88,2.03,2.24,1.88,2.03,2.24,1.88,48,8,1,48,8,1
